class,precision,recall,f1,mAP50,mAP50-95
all,0.6993,0.4372,0.5381,0.4818,0.3427
Excavator,0.7904,0.6308,0.7017,0.7102,0.5089
Gloves,0.3675,0.1867,0.2476,0.1865,0.0701
Hardhat,0.8327,0.6456,0.7273,0.7188,0.4864
Ladder,0.6496,0.6,0.6238,0.5922,0.4539
Mask,1.0,0.7361,0.848,0.8425,0.5583
NO-Hardhat,0.6082,0.4783,0.5354,0.4858,0.2318
NO-Mask,0.4284,0.4459,0.437,0.3903,0.1063
NO-Safety Vest,0.6551,0.4839,0.5566,0.5301,0.2744
Person,0.7943,0.6687,0.7261,0.7297,0.5099
Safety Cone,0.8195,0.7045,0.7577,0.7638,0.363
Safety Vest,0.7517,0.4878,0.5917,0.5715,0.3762
dump truck,0.7289,0.4615,0.5652,0.5634,0.4978
machinery,1.0,0.3392,0.5065,0.6204,0.5156
mini-van,1.0,0.0,0.0,0.0,0.0
sedan,0.5956,0.1538,0.2445,0.1621,0.1296
trailer,0.6152,1.0,0.7618,0.995,0.995
truck and trailer,0.2587,0.25,0.2543,0.2988,0.2385
truck,1.0,0.0,0.0,0.0,0.0
van,0.6557,0.3333,0.442,0.357,0.3526
vehicle,0.2218,0.1667,0.1903,0.1344,0.1257
wheel loader,0.9126,0.4091,0.5649,0.4659,0.4032

# Inference speed (CPU, averaged over 20 test images): 47.19 ms/image, 21.19 FPS
