class,precision,recall,f1,mAP50,mAP50-95
all,0.5044,0.4616,0.4821,0.4458,0.304
Excavator,0.3505,0.75,0.4777,0.7146,0.5657
Gloves,0.3374,0.28,0.306,0.2297,0.1276
Hardhat,0.7453,0.6203,0.6771,0.6804,0.4974
Ladder,0.3968,0.7,0.5065,0.616,0.4918
Mask,0.6845,0.7143,0.6991,0.7853,0.5044
NO-Hardhat,0.5572,0.5507,0.5539,0.5622,0.27
NO-Mask,0.5266,0.3908,0.4486,0.3396,0.1283
NO-Safety Vest,0.6438,0.5798,0.6101,0.6186,0.333
Person,0.7652,0.7067,0.7348,0.7733,0.5518
Safety Cone,0.66,0.794,0.7208,0.7468,0.3953
Safety Vest,0.6138,0.6341,0.6238,0.6247,0.3708
dump truck,0.3379,0.6923,0.4541,0.6317,0.5244
machinery,0.8267,0.125,0.2172,0.2961,0.203
mini-van,1.0,0.0,0.0,0.0,0.0
sedan,0.5148,0.2308,0.3187,0.2404,0.171
trailer,0.3097,0.6193,0.4129,0.4975,0.4477
truck and trailer,0.1794,0.25,0.2089,0.1115,0.0636
truck,0.0,0.0,0.0,0.0,0.0
van,0.3002,0.3333,0.3159,0.2146,0.1741
vehicle,0.2368,0.2222,0.2293,0.1687,0.1542
wheel loader,0.6063,0.5,0.548,0.51,0.4091

# Inference speed (CPU, averaged over 20 test images): 40.63 ms/image, 24.61 FPS
